"mode","region","region_error","undrawn","stress","diag_error","diag_error_threshold","seed","eulerr_version"
"reduce","peakset1",1.62977964457411e-12,FALSE,1.82168139406276e-22,3.40659445097202e-12,1e-06,1111,"8.1.0"
"reduce","peakset2",1.3243017793485e-12,FALSE,1.82168139406276e-22,3.40659445097202e-12,1e-06,1111,"8.1.0"
"reduce","peakset3",2.33991992448779e-12,FALSE,1.82168139406276e-22,3.40659445097202e-12,1e-06,1111,"8.1.0"
"reduce","peakset1&peakset2",1.2552181516412e-12,FALSE,1.82168139406276e-22,3.40659445097202e-12,1e-06,1111,"8.1.0"
"reduce","peakset1&peakset3",2.57110999157817e-12,FALSE,1.82168139406276e-22,3.40659445097202e-12,1e-06,1111,"8.1.0"
"reduce","peakset2&peakset3",3.40659445097202e-12,FALSE,1.82168139406276e-22,3.40659445097202e-12,1e-06,1111,"8.1.0"
"reduce","peakset1&peakset2&peakset3",1.9387547123273e-12,FALSE,1.82168139406276e-22,3.40659445097202e-12,1e-06,1111,"8.1.0"
"disjoin","peakset1",6.59194920871187e-14,FALSE,2.60704519590172e-25,1.83183329616199e-13,1e-06,1111,"8.1.0"
"disjoin","peakset2",7.6438855245442e-14,FALSE,2.60704519590172e-25,1.83183329616199e-13,1e-06,1111,"8.1.0"
"disjoin","peakset3",4.90302243250085e-14,FALSE,2.60704519590172e-25,1.83183329616199e-13,1e-06,1111,"8.1.0"
"disjoin","peakset1&peakset2",6.22696338936635e-14,FALSE,2.60704519590172e-25,1.83183329616199e-13,1e-06,1111,"8.1.0"
"disjoin","peakset1&peakset3",1.346145417358e-14,FALSE,2.60704519590172e-25,1.83183329616199e-13,1e-06,1111,"8.1.0"
"disjoin","peakset2&peakset3",1.83183329616199e-13,FALSE,2.60704519590172e-25,1.83183329616199e-13,1e-06,1111,"8.1.0"
"disjoin","peakset1&peakset2&peakset3",6.75154376850173e-14,FALSE,2.60704519590172e-25,1.83183329616199e-13,1e-06,1111,"8.1.0"
